No,Date,Price,Open,High,Low,Vol.,Change %
1200,6/13/2022,"10,809.22","10,986.84","11,071.48","10,775.14",1.21B,-4.68%
1201,6/14/2022,"10,828.34","10,897.43","10,926.81","10,733.04",953.68M,0.18%
1202,6/15/2022,"11,099.16","10,968.40","11,244.26","10,866.39",1.22B,2.50%
1203,6/16/2022,"10,646.10","10,806.02","10,831.07","10,565.13",1.25B,-4.08%
1204,6/17/2022,"10,798.35","10,697.55","10,884.71","10,638.72",2.80B,1.43%
1205,6/21/2022,"11,069.30","10,974.05","11,164.99","10,974.05",1.19B,2.51%
1206,6/22/2022,"11,053.08","10,941.95","11,216.77","10,938.06",1.11B,-0.15%
1207,6/23/2022,"11,232.19","11,137.68","11,260.27","11,046.29",1.03B,1.62%
1208,6/24/2022,"11,607.62","11,351.31","11,613.23","11,337.78",4.31B,3.34%
1209,6/27/2022,"11,524.55","11,661.02","11,677.49","11,487.07",991.61M,-0.72%
1210,6/28/2022,"11,181.54","11,542.24","11,635.86","11,177.68",1.02B,-2.98%
1211,6/29/2022,"11,177.89","11,160.22","11,226.33","11,072.19",1.02B,-0.03%
1212,6/30/2022,"11,028.74","11,048.25","11,160.92","10,850.01",1.16B,-1.33%
1213,7/1/2022,"11,127.84","11,006.83","11,132.55","10,922.71",930.71M,0.90%
1214,7/5/2022,"11,322.24","10,964.18","11,323.89","10,911.45",1.07B,1.75%
1215,7/6/2022,"11,361.85","11,337.90","11,443.14","11,250.32",933.39M,0.35%
1216,7/7/2022,"11,621.35","11,422.60","11,644.47","11,412.88",916.26M,2.28%
1217,7/8/2022,"11,635.31","11,503.61","11,689.70","11,479.77",820.69M,0.12%
1218,7/11/2022,"11,372.60","11,524.49","11,541.10","11,348.06",844.13M,-2.26%
1219,7/12/2022,"11,264.73","11,420.89","11,483.17","11,207.08",836.73M,-0.95%
1220,7/13/2022,"11,247.58","11,056.55","11,325.67","11,031.27",812.60M,-0.15%
1221,7/14/2022,"11,251.18","11,151.21","11,279.97","11,005.93",817.49M,0.03%
1222,7/15/2022,"11,452.42","11,379.36","11,454.69","11,295.33",947.43M,1.79%
1223,7/18/2022,"11,360.05","11,561.64","11,629.03","11,322.84",922.80M,-0.81%
1224,7/19/2022,"11,713.15","11,515.00","11,721.22","11,448.97",974.15M,3.11%
1225,7/20/2022,"11,897.65","11,726.09","11,939.96","11,703.36",1.01B,1.58%
1226,7/21/2022,"12,059.61","11,914.15","12,060.59","11,812.72",840.81M,1.36%
1227,7/22/2022,"11,834.11","12,025.37","12,093.02","11,767.19",884.72M,-1.87%
1228,7/25/2022,"11,782.67","11,837.96","11,855.11","11,707.53",783.12M,-0.43%
1229,7/26/2022,"11,562.58","11,701.53","11,711.31","11,533.37",834.49M,-1.87%
1230,7/27/2022,"12,032.42","11,756.19","12,081.73","11,718.38",939.31M,4.06%
1231,7/28/2022,"12,162.59","12,036.48","12,179.09","11,886.67",958.80M,1.08%
1232,7/29/2022,"12,390.69","12,239.69","12,426.26","12,181.13",1.10B,1.88%
1233,8/1/2022,"12,368.98","12,317.96","12,499.72","12,271.98",891.53M,-0.18%
1234,8/2/2022,"12,348.76","12,287.67","12,503.34","12,260.48",902.82M,-0.16%
1235,8/3/2022,"12,668.16","12,433.87","12,699.64","12,425.21",1.10B,2.59%
1236,8/4/2022,"12,720.58","12,675.04","12,736.19","12,600.78",1.05B,0.41%
1237,8/5/2022,"12,657.55","12,538.80","12,720.44","12,525.77",991.77M,-0.50%
1238,8/8/2022,"12,644.46","12,703.72","12,855.16","12,597.75",1.00B,-0.10%
1239,8/9/2022,"12,493.93","12,557.49","12,582.91","12,438.86",1.02B,-1.19%
1240,8/10/2022,"12,854.80","12,793.44","12,861.44","12,698.61",1.05B,2.89%
1241,8/11/2022,"12,779.91","12,944.82","13,026.24","12,760.09",1.08B,-0.58%
1242,8/12/2022,"13,047.19","12,866.31","13,047.19","12,821.22",936.39M,2.09%
1243,8/15/2022,"13,128.05","12,996.63","13,146.06","12,993.78",862.20M,0.62%
1244,8/16/2022,"13,102.55","13,082.64","13,181.09","12,979.24",952.79M,-0.19%
1245,8/17/2022,"12,938.12","12,968.63","13,053.51","12,863.01",977.81M,-1.25%
1246,8/18/2022,"12,965.34","12,937.79","13,002.66","12,873.49",865.17M,0.21%
1247,8/19/2022,"12,705.21","12,832.27","12,859.01","12,674.87",998.67M,-2.01%
1248,8/22/2022,"12,381.57","12,523.16","12,538.55","12,353.73",857.72M,-2.55%
1249,8/23/2022,"12,381.30","12,380.37","12,490.86","12,352.03",763.64M,0.00%
1250,8/24/2022,"12,431.53","12,375.15","12,504.33","12,350.16",770.65M,0.41%
1251,8/25/2022,"12,639.26","12,506.37","12,641.26","12,471.98",797.23M,1.67%
1252,8/26/2022,"12,141.71","12,630.58","12,655.84","12,141.52",960.49M,-3.94%
1253,8/29/2022,"12,017.67","12,021.05","12,124.87","11,981.42",798.39M,-1.02%
1254,8/30/2022,"11,883.14","12,093.06","12,101.85","11,790.03",896.27M,-1.12%
1255,8/31/2022,"11,816.20","11,972.56","12,027.43","11,814.17",1.16B,-0.56%
